x         z       u       v       y         e 
0.015   0.921   0.212   1.381   0.015     0.070
0.172   1.472   0.457   1.328   0.210     0.109
0.329   1.527   0.598   1.731   0.440     0.187
0.486   1.921   0.703   1.987   0.547     0.140
0.643   2.792   0.815   1.964   0.764     0.235
0.800   3.181   0.909   2.644   0.753     0.105
0.958   3.869   0.998   2.864   0.960     0.212
1.115   3.955   1.060   3.262   0.959     0.131
1.272   4.081   1.139   4.042   0.974     0.088
1.429   5.127   1.210   4.448   1.019     0.099
1.586   5.133   1.262   5.119   1.198     0.268
1.743   5.906   1.323   6.138   1.009     0.094
1.900   5.709   1.391   6.914   0.948     0.072
2.057   6.447   1.442   8.315   0.990     0.176
2.214   7.230   1.504   9.524   0.920     0.190
2.317   7.951   1.542   10.809  0.730     0.103
2.528   8.070   1.603   12.953  0.666     0.160
2.685   8.800   1.642   14.915  0.452     0.081
2.843   8.986   1.698   17.173  0.451     0.227
3.000   9.743   1.743   20.364  0.245     0.174
